name,s_typ,s_node,charge_rate,discharge_rate,duration,max_SoC,min_SoC,charge_eff,discharge_eff
BAT_57584_BS1,battery,bus_284741,2.5,2.5,1.0,2.5,0.5,0.9,0.95
BAT_58256_2,battery,bus_530021,1.0,1.0,6.0,6.0,1.2,0.9,0.95
BAT_58256_3,battery,bus_530021,0.8,0.8,3.0,2.3,0.46,0.9,0.95
BAT_58625_SRJBA,battery,bus_216471,0.3,0.3,14.0,4.0,0.8,0.9,0.95
BAT_58899_GEN-2,battery,bus_530001,0.5,0.5,3.0,1.3,0.26,0.9,0.95
BAT_59256_BAT1,battery,bus_216471,2.0,2.0,7.0,14.0,2.8,0.9,0.95
BAT_59257_YB1,battery,bus_230601,4.0,4.0,7.0,28.0,5.6,0.9,0.95
BAT_60016_A,battery,bus_102281,0.5,0.5,1.0,0.5,0.1,0.9,0.95
BAT_60441_SSPC,battery,bus_131751,1.3,1.3,1.0,1.3,0.26,0.9,0.95
PSH_104,pumped_storage_hydro,bus_232301,199.8,199.8,18.0,3530.466,706.0932,0.87,0.92
PSH_145,pumped_storage_hydro,bus_403911,99.8,99.8,100.0,9980.0,1996.0,0.87,0.92
PSH_148,pumped_storage_hydro,bus_403911,54.3,54.3,46.0,2497.8,499.56,0.87,0.92
PSH_392,pumped_storage_hydro,bus_262011,1626.0,1626.0,10.0,16260.0,3252.0,0.87,0.92
PSH_437,pumped_storage_hydro,bus_201361,293.1,293.1,100.0,29310.0,5862.0,0.87,0.92
PSH_438,pumped_storage_hydro,bus_201361,82.5,82.5,12.0,990.0,198.0,0.87,0.92
PSH_446,pumped_storage_hydro,bus_230601,25.2,25.2,10.0,252.0,50.4,0.87,0.92
PSH_448,pumped_storage_hydro,bus_230601,424.0,424.0,8.0,3392.0,678.4,0.87,0.92
PSH_467,pumped_storage_hydro,bus_601941,300.0,300.0,4.0,1200.0,240.0,0.87,0.92
PSH_518,pumped_storage_hydro,bus_601941,8.5,8.5,10.0,85.0,17.0,0.87,0.92
PSH_6100,pumped_storage_hydro,bus_232301,1053.0,1053.0,100.0,105300.0,21060.0,0.87,0.92
PSH_6163,pumped_storage_hydro,bus_110161,314.0,314.0,80.0,25120.0,5024.0,0.87,0.92
PSH_6208,pumped_storage_hydro,bus_601941,200.0,200.0,12.0,2400.0,480.0,0.87,0.92
PSH_7164,pumped_storage_hydro,bus_401621,40.0,40.0,10.0,400.0,80.0,0.87,0.92
PSH_57729,pumped_storage_hydro,bus_284741,42.0,42.0,10.0,420.0,84.0,0.87,0.92
PSH_57854,pumped_storage_hydro,bus_252891,5.4,5.4,10.0,54.0,10.8,0.87,0.92
BAT_100931_4,battery,bus_100931,11.25,11.25,4.0,45.0,9.0,0.9,0.95
